2016-8-8 10:56:12 [INFO] A user has disconnected from the site.
2016-8-8 10:56:12 [INFO] A user has connected to the site.
2016-8-8 10:56:36 [INFO] A user has disconnected from the site.
2016-8-8 10:56:36 [INFO] A user has connected to the site.
2016-8-8 10:56:48 [INFO] A user has disconnected from the site.
2016-8-8 10:56:48 [INFO] A user has connected to the site.
2016-8-8 10:56:48 [INFO] A user has disconnected from the site.
2016-8-8 10:56:48 [INFO] A user has connected to the site.
2016-8-8 10:56:49 [INFO] A user has disconnected from the site.
2016-8-8 10:56:49 [INFO] A user has connected to the site.
2016-8-8 10:56:49 [INFO] A user has disconnected from the site.
2016-8-8 10:56:49 [INFO] A user has connected to the site.
2016-8-8 10:56:49 [INFO] A user has disconnected from the site.
2016-8-8 10:56:49 [INFO] A user has connected to the site.
2016-8-8 10:56:49 [INFO] A user has disconnected from the site.
2016-8-8 10:56:49 [INFO] A user has connected to the site.
2016-8-8 10:56:49 [INFO] A user has disconnected from the site.
2016-8-8 10:56:49 [INFO] A user has connected to the site.
2016-8-8 10:56:56 [INFO] The application for jwpaisley.com has started.
2016-8-8 10:56:56 [INFO] A user has connected to the site.
2016-8-8 10:56:59 [INFO] A user has disconnected from the site.
2016-8-8 10:56:59 [INFO] A user has connected to the site.
2016-8-8 10:57:17 [INFO] A user has disconnected from the site.
2016-8-8 10:57:17 [INFO] A user has connected to the site.
2016-8-8 10:57:18 [INFO] A user has disconnected from the site.
2016-8-8 10:57:18 [INFO] A user has connected to the site.
2016-8-8 10:57:18 [INFO] A user has connected to the site.
2016-8-8 10:57:18 [INFO] A user has connected to the site.
2016-8-8 10:57:18 [INFO] A user has connected to the site.
2016-8-8 10:58:43 [INFO] A user has disconnected from the site.
2016-8-8 10:58:43 [INFO] A user has disconnected from the site.
2016-8-8 10:58:43 [INFO] A user has disconnected from the site.
2016-8-8 10:59:11 [INFO] A user has disconnected from the site.
2016-8-8 10:59:11 [INFO] A user has connected to the site.
2016-8-8 10:59:11 [INFO] A user has disconnected from the site.
2016-8-8 10:59:11 [INFO] A user has connected to the site.
2016-8-8 10:59:12 [INFO] A user has connected to the site.
2016-8-8 10:59:12 [INFO] A user has disconnected from the site.
2016-8-8 10:59:12 [INFO] A user has connected to the site.
2016-8-8 10:59:12 [INFO] A user has disconnected from the site.
2016-8-8 10:59:12 [INFO] A user has connected to the site.
2016-8-8 10:59:18 [INFO] A user has disconnected from the site.
2016-8-8 10:59:18 [INFO] A user has connected to the site.
2016-8-8 10:59:18 [INFO] A user has disconnected from the site.
2016-8-8 10:59:18 [INFO] A user has connected to the site.
2016-8-8 10:59:18 [INFO] A user has connected to the site.
2016-8-8 10:59:19 [INFO] A user has connected to the site.
2016-8-8 10:59:19 [INFO] A user has connected to the site.
2016-8-8 11:00:21 [INFO] A user has disconnected from the site.
2016-8-8 11:00:21 [INFO] A user has connected to the site.
2016-8-8 11:00:22 [INFO] A user has disconnected from the site.
2016-8-8 11:00:22 [INFO] A user has connected to the site.
2016-8-8 11:00:22 [INFO] A user has disconnected from the site.
2016-8-8 11:00:22 [INFO] A user has connected to the site.
2016-8-8 11:00:22 [INFO] A user has disconnected from the site.
2016-8-8 11:00:22 [INFO] A user has connected to the site.
2016-8-8 11:00:22 [INFO] A user has disconnected from the site.
2016-8-8 11:00:22 [INFO] A user has connected to the site.
2016-8-8 11:00:22 [INFO] A user has disconnected from the site.
2016-8-8 11:00:22 [INFO] A user has connected to the site.
2016-8-8 11:00:32 [INFO] A user has disconnected from the site.
2016-8-8 11:00:32 [INFO] A user has connected to the site.
2016-8-8 11:00:33 [INFO] A user has disconnected from the site.
2016-8-8 11:00:33 [INFO] A user has connected to the site.
2016-8-8 11:00:33 [INFO] A user has disconnected from the site.
2016-8-8 11:00:33 [INFO] A user has connected to the site.
2016-8-8 11:00:34 [INFO] A user has disconnected from the site.
2016-8-8 11:00:34 [INFO] A user has connected to the site.
2016-8-8 11:00:34 [INFO] A user has disconnected from the site.
2016-8-8 11:00:34 [INFO] A user has connected to the site.
2016-8-8 11:00:34 [INFO] A user has disconnected from the site.
2016-8-8 11:00:34 [INFO] A user has connected to the site.
2016-8-8 11:00:34 [INFO] A user has disconnected from the site.
2016-8-8 11:00:34 [INFO] A user has connected to the site.
2016-8-8 11:00:34 [INFO] A user has disconnected from the site.
2016-8-8 11:00:34 [INFO] A user has connected to the site.
2016-8-8 11:00:35 [INFO] A user has disconnected from the site.
2016-8-8 11:00:35 [INFO] A user has connected to the site.
2016-8-8 11:00:35 [INFO] A user has disconnected from the site.
2016-8-8 11:00:35 [INFO] A user has connected to the site.
2016-8-8 11:00:35 [INFO] A user has disconnected from the site.
2016-8-8 11:00:35 [INFO] A user has connected to the site.
2016-8-8 11:00:35 [INFO] A user has disconnected from the site.
2016-8-8 11:00:35 [INFO] A user has connected to the site.
2016-8-8 11:00:35 [INFO] A user has disconnected from the site.
2016-8-8 11:00:35 [INFO] A user has connected to the site.
2016-8-8 11:00:36 [INFO] A user has connected to the site.
2016-8-8 11:00:36 [INFO] A user has disconnected from the site.
2016-8-8 11:00:41 [INFO] A user has disconnected from the site.
2016-8-8 11:00:41 [INFO] A user has connected to the site.
2016-8-8 11:00:43 [INFO] A user has disconnected from the site.
2016-8-8 11:00:43 [INFO] A user has disconnected from the site.
2016-8-8 11:00:44 [INFO] A user has disconnected from the site.
2016-8-8 11:01:09 [INFO] A user has disconnected from the site.
2016-8-8 11:01:09 [INFO] A user has connected to the site.
2016-8-8 11:01:16 [INFO] A user has disconnected from the site.
2016-8-8 11:01:16 [INFO] A user has connected to the site.
2016-8-8 11:01:39 [INFO] A user has disconnected from the site.
2016-8-8 11:01:39 [INFO] A user has connected to the site.
2016-8-8 11:01:41 [INFO] A user has disconnected from the site.
2016-8-8 11:01:41 [INFO] A user has connected to the site.
2016-8-8 11:02:00 [INFO] A user has disconnected from the site.
2016-8-8 11:02:29 [INFO] A user has disconnected from the site.
2016-8-8 11:02:29 [INFO] A user has connected to the site.
2016-8-8 11:02:30 [INFO] A user has disconnected from the site.
2016-8-8 11:02:30 [INFO] A user has connected to the site.
2016-8-8 11:02:30 [INFO] A user has disconnected from the site.
2016-8-8 11:02:30 [INFO] A user has connected to the site.
2016-8-8 11:02:30 [INFO] A user has disconnected from the site.
2016-8-8 11:02:30 [INFO] A user has connected to the site.
2016-8-8 11:02:36 [INFO] A user has disconnected from the site.
2016-8-8 11:02:38 [INFO] A user has connected to the site.
2016-8-8 11:19:47 [INFO] A user has disconnected from the site.
2016-8-8 11:19:47 [INFO] A user has connected to the site.
2016-8-8 11:20:16 [INFO] A user has disconnected from the site.
2016-8-8 11:20:16 [INFO] A user has connected to the site.
2016-8-8 11:26:55 [INFO] A user has disconnected from the site.
2016-8-8 11:26:55 [INFO] A user has connected to the site.
2016-8-8 11:26:56 [INFO] A user has disconnected from the site.
2016-8-8 11:26:56 [INFO] A user has connected to the site.
2016-8-8 11:26:56 [INFO] A user has disconnected from the site.
2016-8-8 11:26:56 [INFO] A user has connected to the site.
2016-8-8 11:26:56 [INFO] A user has disconnected from the site.
2016-8-8 11:26:56 [INFO] A user has connected to the site.
2016-8-8 11:26:56 [INFO] A user has disconnected from the site.
2016-8-8 11:26:56 [INFO] A user has connected to the site.
2016-8-8 11:26:57 [INFO] A user has disconnected from the site.
2016-8-8 11:26:57 [INFO] A user has connected to the site.
2016-8-8 11:26:57 [INFO] A user has disconnected from the site.
2016-8-8 11:26:57 [INFO] A user has connected to the site.
2016-8-8 11:28:22 [INFO] A user has disconnected from the site.
2016-8-8 11:28:22 [INFO] A user has connected to the site.
2016-8-8 11:29:33 [INFO] A user has disconnected from the site.
2016-8-8 11:29:33 [INFO] A user has connected to the site.
2016-8-8 11:33:34 [INFO] A user has disconnected from the site.
2016-8-8 11:33:34 [INFO] A user has connected to the site.
2016-8-8 11:33:47 [INFO] A user has disconnected from the site.
2016-8-8 11:33:49 [INFO] A user has connected to the site.
2016-8-8 11:33:50 [INFO] A user has disconnected from the site.
2016-8-8 11:33:50 [INFO] A user has connected to the site.
2016-8-8 11:33:51 [INFO] A user has disconnected from the site.
2016-8-8 11:33:51 [INFO] A user has connected to the site.
2016-8-8 11:33:52 [INFO] A user has disconnected from the site.
2016-8-8 11:33:52 [INFO] A user has connected to the site.
2016-8-8 11:34:09 [INFO] A user has disconnected from the site.
2016-8-8 11:34:09 [INFO] A user has connected to the site.
2016-8-8 11:34:21 [INFO] A user has disconnected from the site.
2016-8-8 11:34:21 [INFO] A user has connected to the site.
2016-8-8 11:34:32 [INFO] A user has disconnected from the site.
2016-8-8 11:34:32 [INFO] A user has connected to the site.
2016-8-8 11:35:20 [INFO] A user has disconnected from the site.
2016-8-8 11:35:20 [INFO] A user has connected to the site.
2016-8-8 11:35:21 [INFO] A user has disconnected from the site.
2016-8-8 11:35:21 [INFO] A user has connected to the site.
2016-8-8 11:35:23 [INFO] A user has disconnected from the site.
2016-8-8 11:35:23 [INFO] A user has connected to the site.
2016-8-8 11:38:33 [INFO] A user has disconnected from the site.
2016-8-8 11:38:33 [INFO] A user has connected to the site.
2016-8-8 11:38:34 [INFO] A user has disconnected from the site.
2016-8-8 11:38:35 [INFO] A user has connected to the site.
